Date,Purchase,Sale,Transfer
1/3/2019,"26,175","26,925","26,241"
2/3/2019,"26,175","26,925","26,241"
3/3/2019,"26,175","26,925","26,241"
4/3/2019,"26,163","26,913","26,229"
5/3/2019,"26,094","26,844","26,159"
6/3/2019,"26,013","26,763","26,078"
7/3/2019,"26,036","26,786","26,101"
8/3/2019,"25,758","26,506","25,823"
9/3/2019,"25,758","26,506","25,823"
10/3/2019,"25,758","26,506","25,823"
11/3/2019,"25,840","26,588","25,904"
12/3/2019,"25,909","26,657","25,974"
13/03/2019,"25,990","26,738","26,055"
14/03/2019,"26,071","26,821","26,136"
15/03/2019,"26,043","26,793","26,108"
16/03/2019,"26,043","26,793","26,108"
17/03/2019,"26,043","26,793","26,108"
18/03/2019,"26,070","26,820","26,136"
19/03/2019,"26,117","26,867","26,182"
20/03/2019,"26,128","26,878","26,194"
21/03/2019,"26,323","27,073","26,389"
22/03/2019,"26,175","26,925","26,241"
23/03/2019,"26,175","26,925","26,241"
24/03/2019,"26,175","26,925","26,241"
25/03/2019,"26,002","26,750","26,067"
26/03/2019,"26,047","26,797","26,113"
27/03/2019,"25,932","26,680","25,997"
28/03/2019,"25,886","26,634","25,951"
29/03/2019,"25,851","26,599","25,916"
30/03/2019,"25,851","26,599","25,916"
31/03/2019,"25,851","26,599","25,916"
1/4/2019,"25,840","26,588","25,904"
2/4/2019,"25,770","26,518","25,835"
3/4/2019,"25,828","26,576","25,893"
4/4/2019,"25,886","26,634","25,951"
5/4/2019,"25,840","26,588","25,904"
6/4/2019,"25,840","26,588","25,904"
7/4/2019,"25,840","26,588","25,904"
8/4/2019,"25,816","26,564","25,881"
9/4/2019,"25,920","26,658",
10/4/2019,"25,909","26,657","25,974"
11/4/2019,"25,956","26,704","26,020"
12/4/2019,"25,979","26,727","26,043"
13/04/2019,"25,979","26,727","26,043"
14/04/2019,"25,979","26,727","26,043"
15/04/2019,"25,979","26,727","26,043"
16/04/2019,"26,002","26,750","26,067"
17/04/2019,"26,024","26,774","26,090"
18/04/2019,"26,002","26,750","26,067"
19/04/2019,"25,889","26,637","25,954"
20/04/2019,"25,889","26,637","25,954"
21/04/2019,"25,889","26,637","25,954"
22/04/2019,"25,899","26,647","25,964"
23/04/2019,"25,911","26,659","25,976"
24/04/2019,"25,873","26,621","25,937"
25/04/2019,"25,750","26,498","25,814"
26/04/2019,"25,712","26,466","25,778"
27/04/2019,"25,712","26,466","25,778"
28/04/2019,"25,712","26,466","25,778"
29/04/2019,"25,712","26,466","25,778"
30/04/2019,"25,712","26,466","25,778"
1/5/2019,"25,712","26,466","25,778"
2/5/2019,"25,858","26,606","25,923"
3/5/2019,"25,770","26,518","25,835"
4/5/2019,"25,770","26,518","25,835"
5/5/2019,"25,770","26,518","25,835"
6/5/2019,"25,848","26,608","25,912"
7/5/2019,"25,954","26,714","26,019"
8/5/2019,"25,958","26,718","26,022"
9/5/2019,"26,000","26,772","26,065"
10/5/2019,"25,947","26,745","26,009"
11/5/2019,"25,947","26,745","26,009"
12/5/2019,"25,947","26,745","26,009"
13/05/2019,"25,979","26,775","26,089"
14/05/2019,"26,065","26,867","26,127"
15/05/2019,"25,917","26,733","26,011"
16/05/2019,"25,938","26,718","26,003"
17/05/2019,"25,936","26,750","26,024"
18/05/2019,"25,936","26,750","26,024"
19/05/2019,"25,936","26,750","26,024"
20/05/2019,"25,927","26,729","26,003"
21/05/2019,"25,913","26,713","25,988"
22/05/2019,"25,917","26,717","25,991"
23/05/2019,"25,887","26,679","25,955"
24/05/2019,"25,958","26,790","26,063"
25/05/2019,"26,002","26,790","26,063"
26/05/2019,"26,002","26,790","26,063"
27/05/2019,"26,015","26,831","26,103"
28/05/2019,"25,992","26,768","26,041"
29/05/2019,"25,950","26,740","26,015"
30/05/2019,"25,888","26,696","25,971"
31/05/2019,"25,854","26,688","25,963"
1/6/2019,"25,854","26,688","25,963"
2/6/2019,"25,854","26,688","25,963"
3/6/2019,"25,944","26,788","26,060"
4/6/2019,"26,141","26,941","26,209"
5/6/2019,"26,137","26,961","26,229"
6/6/2019,"26,077","26,891","26,161"
7/6/2019,"26,170","27,004","26,271"
8/6/2019,"26,170","27,004","26,271"
9/6/2019,"26,170","27,004","26,271"
10/6/2019,"26,236","27,010","26,276"
11/6/2019,"26,193","27,013","26,279"
12/6/2019,"26,138","26,832","26,150"
13/06/2019,"26,037","26,743","26,064"
14/06/2019,"26,000","26,714","26,035"
15/06/2019,"25,848","26,574","25,872"
16/06/2019,"25,848","26,574","25,872"
17/06/2019,"25,889","26,673","25,995"
18/06/2019,"25,851","26,617","25,941"
19/06/2019,"25,809","26,501","25,828"
20/06/2019,"25,960","26,688","26,009"
21/06/2019,"25,994","26,714","26,035"
22/06/2019,"25,994","26,714","26,035"
23/06/2019,"25,994","26,714","26,035"
24/06/2019,"26,196","26,914","26,231"
25/06/2019,"26,254","27,206","26,414"
26/06/2019,"26,172","27,132","26,342"
27/06/2019,"26,168","27,138","26,348"
28/06/2019,"26,165","26,999","26,286"
29/06/2019,"26,223","27,059","26,373"
30/06/2019,"26,223","27,059","26,373"
1/7/2019,"26,114","26,938","26,264"
2/7/2019,"25,902","26,764","25,992"
3/7/2019,"25,927","26,867","26,086"
4/7/2019,"25,930","26,880","26,098"
5/7/2019,"25,915","26,869","26,087"
6/7/2019,"25,915","26,869","26,087"
7/7/2019,"25,915","26,869","26,087"
8/7/2019,"25,791","26,733","25,955"
9/7/2019,"25,717","26,681","25,905"
