Date,Purchase,Sale,Transfer
1/3/2019,203.41,210.17,203.35
2/3/2019,203.41,210.17,203.35
3/3/2019,203.41,210.17,203.35
4/3/2019,202.67,209.43,202.61
5/3/2019,202.85,209.61,202.79
6/3/2019,203.04,209.8,202.98
7/3/2019,203.32,210.08,203.26
8/3/2019,203.6,210.36,203.54
9/3/2019,203.6,210.36,203.54
10/3/2019,203.6,210.36,203.54
11/3/2019,204.34,211.1,204.28
12/3/2019,203.78,210.54,203.72
13/03/2019,204.06,210.82,204
14/03/2019,203.88,210.64,203.82
15/03/2019,202.85,209.61,202.79
16/03/2019,202.85,209.61,202.79
17/03/2019,202.85,209.61,202.79
18/03/2019,203.5,210.26,203.44
19/03/2019,203.97,210.73,203.91
20/03/2019,203.5,210.26,203.44
21/03/2019,205.55,214.51,207.75
22/03/2019,205.1,211.86,205.3
23/03/2019,205.1,211.86,205.3
24/03/2019,205.1,211.86,205.3
25/03/2019,206.71,213.49,206.91
26/03/2019,206.04,212.82,206.24
27/03/2019,205.38,212.14,205.58
28/03/2019,204.16,210.92,
29/03/2019,204.91,211.77,205.11
30/03/2019,204.91,211.77,205.11
31/03/2019,204.91,211.77,205.11
1/4/2019,204.34,211.2,204.54
2/4/2019,203.88,210.74,204.08
3/4/2019,203.6,210.46,203.8
4/4/2019,203.6,210.46,203.8
5/4/2019,203.22,210.08,203.42
6/4/2019,203.22,210.08,203.42
7/4/2019,203.22,210.08,203.42
8/4/2019,203.6,210.46,203.8
9/4/2019,203.6,210.46,203.8
10/4/2019,204.25,211.11,204.45
11/4/2019,204.31,211.17,204.51
12/4/2019,203.13,209.99,203.33
13/04/2019,203.13,209.99,203.33
14/04/2019,203.13,209.99,203.33
15/04/2019,203.13,209.99,203.33
16/04/2019,202.82,209.48,203.02
17/04/2019,202.67,211.43,204.87
18/04/2019,202.76,212.52,204.96
19/04/2019,202.78,212.54,204.98
20/04/2019,202.78,212.54,204.98
21/04/2019,202.78,212.54,204.98
22/04/2019,202.87,212.61,205.07
23/04/2019,203.16,212.92,205.36
24/04/2019,203.17,212.93,205.37
25/04/2019,203.06,212.82,205.26
26/04/2019,203.9,213.7,206.1
27/04/2019,203.9,213.7,206.1
28/04/2019,203.9,213.7,206.1
29/04/2019,203.9,213.7,206.1
30/04/2019,203.9,213.7,206.1
1/5/2019,203.9,213.7,206.1
2/5/2019,204.12,213.88,206.32
3/5/2019,204.1,213.86,206.3
4/5/2019,204.1,213.86,206.3
5/5/2019,204.1,213.86,206.3
6/5/2019,206.01,215.87,208.21
7/5/2019,206.4,216.26,208.6
8/5/2019,207.73,217.59,209.93
9/5/2019,208.33,218.29,210.53
10/5/2019,207.2,217.02,209.72
11/5/2019,207.2,217.02,209.72
12/5/2019,207.2,217.02,209.72
13/05/2019,208.09,213.57,208.2
14/05/2019,209.32,214.72,211.52
15/05/2019,208.37,214.77,210.51
16/05/2019,208.81,219.79,210.85
17/05/2019,208.3,217.98,211.5
18/05/2019,208.3,217.98,211.5
19/05/2019,208.3,217.98,211.5
20/05/2019,207.95,215.57,211.31
21/05/2019,207.95,213.53,209.57
22/05/2019,207.33,213.11,207.66
23/05/2019,207.84,213.62,207.08
24/05/2019,206.9,214.6,208.47
25/05/2019,207.58,215.46,209.15
26/05/2019,207.58,215.46,209.15
27/05/2019,207.16,214.88,208.66
28/05/2019,207.13,214.83,208.59
29/05/2019,207.87,217.83,208.89
30/05/2019,207.42,217.84,208.66
31/05/2019,207.86,216.6,210.06
1/6/2019,207.86,216.6,210.06
2/6/2019,207.86,216.6,210.06
3/6/2019,211.64,219.22,213.84
4/6/2019,212.43,220.01,211.69
5/6/2019,211.95,218.75,211.29
6/6/2019,211.54,220.04,214.49
7/6/2019,211.27,219.77,210.55
8/6/2019,211.27,219.77,210.55
9/6/2019,211.27,219.77,210.55
10/6/2019,210.99,217.77,210.25
11/6/2019,210.42,217.2,209.85
12/6/2019,210.04,217.62,210.35
13/06/2019,209.98,217.26,210.17
14/06/2019,209.93,218.27,210.12
15/06/2019,209.65,218.07,209.76
16/06/2019,209.65,218.07,209.76
17/06/2019,209.77,217.35,212.77
18/06/2019,210.34,218.68,213.29
19/06/2019,209.82,221.02,213.72
20/06/2019,211.28,221.8,214.82
21/06/2019,211.62,222.14,215.61
22/06/2019,211.62,222.14,215.61
23/06/2019,211.62,222.14,215.61
24/06/2019,211.48,222.02,215.26
25/06/2019,212.41,219.43,214.43
26/06/2019,211.79,218.77,213.15
27/06/2019,210.36,217.52,211.93
28/06/2019,210.68,219.46,214.51
29/06/2019,211.06,218.34,213.01
30/06/2019,211.06,218.34,213.01
1/7/2019,209.42,216.82,211.26
2/7/2019,208.86,216.22,210.67
3/7/2019,210.76,217.7,212.04
4/7/2019,210.45,217.43,211.85
5/7/2019,210.16,217.28,211.69
6/7/2019,210.16,217.28,211.69
7/7/2019,210.16,217.28,211.69
8/7/2019,209.05,215.93,210.39
9/7/2019,208.49,216.85,212.29
10/7/2019,207.75,215.35,211.74
11/7/2019,209.38,216.84,209.75
12/7/2019,208.75,216.41,209.12
13/07/2019,209.8,217.7,209.19
14/07/2019,209.8,217.7,209.19
15/07/2019,209.37,216.11,210.02
16/07/2019,209.4,215.92,209.83
17/07/2019,209.22,221.24,213.55
18/07/2019,210.4,222.44,214.72
19/07/2019,211.03,222.75,215.02
20/07/2019,211.03,222.75,215.02
21/07/2019,211.03,222.75,215.02
22/07/2019,209.99,222.11,214.39
23/07/2019,209.99,222.11,214.39
24/07/2019,209.27,221.47,
25/07/2019,209.22,215.54,209.47
26/07/2019,208.33,214.59,208.54
27/07/2019,208.33,214.59,208.54
28/07/2019,208.33,214.59,208.54
29/07/2019,208.72,214.66,208.61
30/07/2019,207.93,214.25,208.21
31/07/2019,208.4,214.66,208.61
1/8/2019,207.15,213.63,207.6
2/8/2019,211.53,218.07,211.91
3/8/2019,211.53,218.07,211.91
4/8/2019,211.53,218.07,211.91
5/8/2019,214.18,223.46,217.45
6/8/2019,213.66,222.74,216.73
7/8/2019,213.06,222.84,216.83
8/8/2019,213.66,222.96,216.96
9/8/2019,213.74,222.96,216.95
10/8/2019,213.74,222.96,216.95
11/8/2019,213.74,222.96,216.95
12/8/2019,214.64,224.12,218.12
13/08/2019,214.98,224.08,218.08
14/08/2019,212.76,222.16,216.15
15/08/2019,213.13,221.25,215.74
16/08/2019,213.38,221.7,216.2
17/08/2019,213.38,221.7,216.2
18/08/2019,213.38,221.7,216.2
19/08/2019,212.75,221.11,215.61
20/08/2019,212.38,220.64,215.13
21/08/2019,212.89,221.19,215.69
22/08/2019,212.44,222.36,215.56
23/08/2019,212.44,220.74,215.24
24/08/2019,212.44,220.74,215.24
25/08/2019,212.44,220.74,215.24
26/08/2019,214.43,222.57,217.06
27/08/2019,214.26,222.54,217.03
28/08/2019,214.19,221.31,217.69
29/08/2019,213.72,220.82,217.22
30/08/2019,212.62,219.72,216.12
31/08/2019,212.62,219.72,216.12
1/9/2019,212.62,219.72,216.12
2/9/2019,212.62,219.72,216.12
3/9/2019,212.96,220.06,216.46
4/9/2019,213.73,220.83,217.23
5/9/2019,212.75,219.85,216.25
6/9/2019,211.42,218.52,214.92
7/9/2019,211.42,218.52,214.92
8/9/2019,211.42,218.52,214.92
9/9/2019,211.63,218.73,215.13
10/9/2019,210.77,217.87,213.65
11/9/2019,210.36,217.46,213.13
12/9/2019,209.77,216.85,212.39
13/09/2019,209.67,216.75,212.56
14/09/2019,209.67,216.75,212.56
15/09/2019,209.67,216.75,212.56
16/09/2019,210.38,217.48,213.16
17/09/2019,209.46,218.84,211.45
18/09/2019,209.47,221.79,212.97
19/09/2019,209.36,217.54,212.03
20/09/2019,209.77,221.95,213.52
21/09/2019,209.77,221.95,213.52
22/09/2019,209.77,221.95,213.52
23/09/2019,210.6,217.04,210
24/09/2019,210.41,217.25,209.89
25/09/2019,210.91,217.75,210.95
26/09/2019,210.18,217.02,209.77
27/09/2019,209.94,216.78,209.73
28/09/2019,209.94,216.78,209.73
29/09/2019,209.94,216.78,209.73
30/09/2019,209.98,216.82,209.41
1/10/2019,209.09,215.93,208.74
2/10/2019,210.34,218.32,212.81
3/10/2019,211.34,219.68,214.17
4/10/2019,212.03,220.21,214.71
5/10/2019,212.03,220.21,214.71
6/10/2019,212.03,220.21,214.71
7/10/2019,211.86,220.1,214.6
8/10/2019,210.81,219.07,213.57
9/10/2019,211.07,219.39,213.88
10/10/2019,210.67,219.07,213.56
11/10/2019,209.67,217.81,212.31
12/10/2019,209.67,217.81,212.31
13/10/2019,209.67,217.81,212.31
14/10/2019,209.09,217.31,211.81
15/10/2019,208.8,217.12,211.61
16/10/2019,208.31,216.43,210.93
17/10/2019,208,216.36,210.86
18/10/2019,208.24,216.68,211.18
